  Yr, Mn,      Date,     CO2
1957,3,1957.2027,315.45
1957,4,1957.2877,315.74
1957,5,1957.3699,315.84
1957,6,1957.4548,315.28
1957,7,1957.537,-99.99
1957,8,1957.6219,309.28
1957,9,1957.7068,309.95
1957,10,1957.789,312.71
1957,11,1957.874,-99.99
1957,12,1957.9562,-99.99
1958,1,1958.0411,-99.99
1958,2,1958.126,-99.99
1958,3,1958.2027,-99.99
1958,4,1958.2877,316.44
1958,5,1958.3699,317.6
1958,6,1958.4548,-99.99
1958,7,1958.537,313.44
1958,8,1958.6219,310.59
1958,9,1958.7068,311.09
1958,10,1958.789,312.77
1958,11,1958.874,315.62
1958,12,1958.9562,316.46
1959,1,1959.0411,317.22
1959,2,1959.126,316.75
1959,3,1959.2027,317.65
1959,4,1959.2877,317.39
1959,5,1959.3699,317.37
1959,6,1959.4548,317.43
1959,7,1959.537,313.54
1959,8,1959.6219,310.28
1959,9,1959.7068,311.29
1959,10,1959.789,314.67
1959,11,1959.874,316.41
1959,12,1959.9562,315.76
1960,1,1960.041,317.12
1960,2,1960.1257,317.85
1960,3,1960.2049,317.81
1960,4,1960.2896,319.61
1960,5,1960.3716,320.38
1960,6,1960.4563,318.04
1960,7,1960.5383,-99.99
1960,8,1960.623,-99.99
1960,9,1960.7077,-99.99
1960,10,1960.7896,-99.99
1960,11,1960.8743,-99.99
1960,12,1960.9563,-99.99
1961,1,1961.0411,-99.99
1961,2,1961.126,-99.99
1961,3,1961.2027,-99.99
1961,4,1961.2877,-99.99
1961,5,1961.3699,-99.99
1961,6,1961.4548,-99.99
1961,7,1961.537,-99.99
1961,8,1961.6219,-99.99
1961,9,1961.7068,-99.99
1961,10,1961.789,-99.99
1961,11,1961.874,-99.99
1961,12,1961.9562,-99.99
1962,1,1962.0411,-99.99
1962,2,1962.126,-99.99
1962,3,1962.2027,320.18
1962,4,1962.2877,320.71
1962,5,1962.3699,320.92
1962,6,1962.4548,-99.99
1962,7,1962.537,-99.99
1962,8,1962.6219,-99.99
1962,9,1962.7068,-99.99
1962,10,1962.789,-99.99
1962,11,1962.874,-99.99
1962,12,1962.9562,-99.99
1963,1,1963.0411,-99.99
1963,2,1963.126,-99.99
1963,3,1963.2027,-99.99
1963,4,1963.2877,-99.99
1963,5,1963.3699,-99.99
1963,6,1963.4548,-99.99
1963,7,1963.537,-99.99
1963,8,1963.6219,-99.99
1963,9,1963.7068,-99.99
1963,10,1963.789,-99.99
1963,11,1963.874,-99.99
1963,12,1963.9562,-99.99
1964,1,1964.041,-99.99
